case,tick,time_s,python_duty_cmd,c_duty_cmd,error_duty_cmd,python_vref_cmd_v,c_vref_cmd_v,error_vref_cmd_v,python_integrator,c_integrator,error_integrator,python_state,c_state,python_latched_fault,c_latched_fault,python_pwm_enable,c_pwm_enable
steady_12v,13960,0.06980000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,13980,0.06990000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14000,0.07,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14020,0.07010000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14040,0.07020000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14060,0.07030000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14080,0.07040000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14100,0.07050000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14120,0.07060000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14140,0.07070000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14160,0.07080000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14180,0.07090000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14200,0.07100000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14220,0.07110000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14240,0.07120000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14260,0.07130000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14280,0.0714,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,14300,0.07150000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
