time_s,vout_v,inductor_current_a,mosfet_vds_v
8.2e-06,0.18782123938802683,4.066676673116534,24.0
8.4e-06,0.19579302112513577,4.0649329642577054,24.0
8.599999999999999e-06,0.20375460409315685,4.063116830910558,24.0
8.8e-06,0.21171948750741254,4.115773810625771,0.0
9e-06,0.21998741916658504,4.331993647072594,0.0
9.2e-06,0.22868064686142442,4.548136386955228,0.0
9.4e-06,0.23779865833359226,4.764198166268991,0.0
9.6e-06,0.2473409340313419,4.980175125699258,0.0
9.8e-06,0.257306947125036,5.196063410687698,0.0
9.999999999999999e-06,0.26769616352278347,5.41185917149836,0.0
1.0199999999999999e-05,0.2785080418861959,5.627558563283625,0.0
1.0399999999999999e-05,0.289742033646262,5.843157746150012,0.0
1.06e-05,0.3013975830193406,6.058652885223836,0.0
1.08e-05,0.31347412702327065,6.274040150716721,0.0
1.1e-05,0.32597109549360004,6.489315717990972,0.0
1.12e-05,0.3388879110999303,6.704475767624794,0.0
1.14e-05,0.3521012877584131,6.755880400723087,24.0
1.1599999999999999e-05,0.3653108846408472,6.752619423022816,24.0
1.1799999999999999e-05,0.3785028388719843,6.749238438101338,24.0
1.2e-05,0.39167692539447097,6.745737607369767,24.0
1.22e-05,0.40483291966315466,6.742117094282867,24.0
1.24e-05,0.4179705976487388,6.7383770643343786,24.0
1.26e-05,0.4310897358414241,6.734517685052315,24.0
1.28e-05,0.4441901112545381,6.7305391259942215,24.0
1.3e-05,0.457271501428152,6.726441558742405,24.0
1.3199999999999999e-05,0.47033368443268475,6.722225156899125,24.0
1.3399999999999999e-05,0.4833764388724951,6.717890096081758,24.0
1.3599999999999999e-05,0.4963995438894601,6.713436553917932,24.0
1.38e-05,0.5094164145819666,6.763410154255599,0.0
1.4e-05,0.5227267148751155,6.976900727825754,0.0
1.42e-05,0.5364526089307536,7.190268409154845,0.0
1.44e-05,0.550593501107632,7.403509422819873,0.0
1.4599999999999999e-05,0.5651487887183967,7.6166199988448025,0.0
1.4799999999999999e-05,0.5801178620464112,7.829596372764534,0.0
1.4999999999999999e-05,0.5955001043626936,8.04243478568874,0.0
1.52e-05,0.6112948919429655,8.255131484365524,0.0
1.5399999999999998e-05,0.6275015940848149,8.467682721244946,0.0
1.56e-05,0.6441195731249725,8.680084754542378,0.0
1.5799999999999998e-05,0.6611481844566968,8.892333848301696,0.0
1.6e-05,0.678586776547276,9.10442627245835,0.0
1.62e-05,0.6964346909556353,9.316358302902213,0.0
1.64e-05,0.7145685607460955,9.36449013678613,24.0
1.66e-05,0.7326879644987222,9.357911676628627,24.0
1.68e-05,0.75077895900788,9.351168623520302,24.0
1.7e-05,0.7688412391484177,9.344261237114525,24.0
1.7199999999999998e-05,0.786874500571209,9.33718977983501,24.0
1.74e-05,0.8048784397080399,9.329954516868725,24.0
1.76e-05,0.8228527537764735,9.322555716158789,24.0
1.78e-05,0.8407971407846985,9.314993648397296,24.0
1.8e-05,0.8587112995363608,9.307268587018108,24.0
1.82e-05,0.8765949296353721,9.299380808189603,24.0
1.84e-05,0.8944477314907058,9.291330590807377,24.0
1.8599999999999998e-05,0.912269406321168,9.2831182164869,24.0
1.88e-05,0.9300732915755814,9.329289413771258,0.0
1.8999999999999998e-05,0.9481589738041702,9.538934118790836,0.0
1.92e-05,0.966648540069772,9.748412572174024,0.0
1.94e-05,0.9855413179091644,9.95772110529927,0.0
1.96e-05,1.0048366280912235,10.166856055689106,0.0
1.98e-05,1.0245337846349063,10.375813767071593,0.0
1.9999999999999998e-05,1.044632094827338,10.584590589441584,0.0
2.02e-05,1.065130859242013,10.793182879121865,0.0
2.0399999999999998e-05,1.086029371757093,11.001586998824083,0.0
2.06e-05,1.1073269195738238,11.209799317709544,0.0
2.0799999999999997e-05,1.1290227832350468,11.417816211449813,0.0
2.1e-05,1.1511162366438243,11.625634062287183,0.0
2.12e-05,1.173606547082163,11.83324925909493,0.0
2.14e-05,1.1963702736258846,11.877022112683308,24.0
2.16e-05,1.2191069211560774,11.866042639899321,24.0
