case,tick,time_s,float_duty_cmd,fixed_duty_cmd,fixed_duty_cmd_raw,error_duty_cmd,float_vref_cmd_v,fixed_vref_cmd_v,fixed_vref_cmd_raw,error_vref_cmd_v,float_integrator,fixed_integrator,fixed_integrator_raw,error_integrator,float_state,fixed_state,float_latched_fault,fixed_latched_fault,float_pwm_enable,fixed_pwm_enable,fixed_arithmetic_overflow,fixed_peak_abs_raw
steady_12v,1580,0.0079,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1600,0.008,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1620,0.0081,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1640,0.0082,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1660,0.0083,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1680,0.0084,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1700,0.0085,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1720,0.0086,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1740,0.0087,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1760,0.0088,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1780,0.0089,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1800,0.009,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1820,0.0091,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1840,0.0092,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1860,0.0093,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1880,0.0094,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1900,0.0095,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1920,0.0096,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1940,0.0097,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1960,0.0098,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1980,0.0099,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2000,0.01,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2020,0.0101,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2040,0.0102,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2060,0.0103,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2080,0.0104,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2100,0.0105,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2120,0.0106,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2140,0.0107,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2160,0.0108,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2180,0.0109,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2200,0.011,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2220,0.0111,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2240,0.0112,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2260,0.0113,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2280,0.0114,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2300,0.0115,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2320,0.0116,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2340,0.0117,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2360,0.0118,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2380,0.0119,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2400,0.012,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2420,0.0121,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2440,0.0122,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2460,0.0123,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2480,0.0124,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2500,0.0125,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2520,0.0126,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2540,0.0127,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,2560,0.0128,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
