case,index,vin_true_v,vout_true_v,iout_true_a,temperature_true_c,vin_mapped_v,vout_mapped_v,iout_mapped_a,temperature_mapped_c,vin_code,vout_code,iout_code,temperature_code,vin_q20,vout_q20,iout_q20,temperature_q20,input_code_clamped,physical_value_clamped,arithmetic_overflow
nominal_sweep,45,14.5,3.6,1.6875,11.5,14.5016288757,3.60123062134,1.68809509277,11.4871997833,1956,912,962,763,15206060,3776164,1770096,12045202,False,False,False
nominal_sweep,46,14.6,3.68,1.725,12.2,14.5980081558,3.68020343781,1.724360466,12.2124996185,1969,932,980,772,15307121,3858973,1808123,12805734,False,False,False
nominal_sweep,47,14.7,3.76,1.7625,12.9,14.7018022537,3.75917720795,1.76263713837,12.9377002716,1983,952,999,781,15415957,3941783,1848259,13566162,False,False,False
nominal_sweep,48,14.8,3.84,1.8,13.6,14.7981815338,3.83815574646,1.8009147644,13.582400322,1996,972,1018,789,15517018,4024598,1888396,14242179,False,False,False
nominal_sweep,49,14.9,3.92,1.8375,14.3,14.9019756317,3.92107772827,1.83718013763,14.3077001572,2010,993,1036,798,15625854,4111548,1926423,15002711,False,False,False
nominal_sweep,50,15.0,4.0,1.875,15.0,14.9983549118,4.00005149841,1.87545776367,15.0329999924,2023,1013,1055,807,15726915,4194358,1966560,15763243,False,False,False
nominal_sweep,51,15.1,4.08,1.9125,15.7,15.1021499634,4.07902431488,1.91172218323,15.6777000427,2037,1033,1073,815,15835752,4277167,2004586,16439260,False,False,False
nominal_sweep,52,15.2,4.16,1.95,16.4,15.1985378265,4.16194725037,1.94999980927,16.4028997421,2050,1054,1092,824,15936822,4364118,2044723,17199687,False,False,False
nominal_sweep,53,15.3,4.24,1.9875,17.1,15.3023319244,4.24092578888,1.9882774353,17.1281995773,2064,1074,1111,833,16045658,4446933,2084860,17960219,False,False,False
nominal_sweep,54,15.4,4.32,2.025,17.8,15.3987112045,4.31989860535,2.02454280853,17.7728996277,2077,1094,1129,841,16146719,4529742,2122887,18636236,False,False,False
nominal_sweep,55,15.5,4.4,2.0625,18.5,15.5025062561,4.39887237549,2.06282043457,18.4982004166,2091,1114,1148,850,16255556,4612552,2163024,19396769,False,False,False
nominal_sweep,56,15.6,4.48,2.1,19.2,15.5988855362,4.4817943573,2.09908485413,19.223400116,2104,1135,1166,859,16356617,4699502,2201050,20157196,False,False,False
nominal_sweep,57,15.7,4.56,2.1375,19.9,15.7026796341,4.56076812744,2.13736248016,19.8681001663,2118,1155,1185,867,16465453,4782312,2241187,20833213,False,False,False
nominal_sweep,58,15.8,4.64,2.175,20.6,15.7990589142,4.63974094391,2.1756401062,20.5934000015,2131,1175,1204,876,16566514,4865121,2281324,21593745,False,False,False
nominal_sweep,59,15.9,4.72,2.2125,21.3,15.9028530121,4.71871948242,2.21190452576,21.3186998367,2145,1195,1222,885,16675350,4947936,2319350,22354277,False,False,False
nominal_sweep,60,16.0,4.8,2.25,22.0,15.9992418289,4.80164241791,2.25018215179,21.9633998871,2158,1216,1241,893,16776421,5034887,2359487,23030294,False,False,False
nominal_sweep,61,16.1,4.88,2.2875,22.7,16.1030359268,4.88061523438,2.28846263885,22.6885995865,2172,1236,1260,902,16885257,5117696,2399627,23790721,False,False,False
nominal_sweep,62,16.2,4.96,2.325,23.4,16.1994152069,4.95958900452,2.32472515106,23.4139003754,2185,1256,1278,911,16986318,5200506,2437651,24551254,False,False,False
nominal_sweep,63,16.3,5.04,2.3625,24.1,16.3032093048,5.03856182098,2.3630027771,24.1392002106,2199,1276,1297,920,17095154,5283315,2477788,25311786,False,False,False
nominal_sweep,64,16.4,5.12,2.4,24.8,16.3995885849,5.12148475647,2.39926719666,24.7839002609,2212,1297,1315,928,17196215,5370266,2515814,25987803,False,False,False
nominal_sweep,65,16.5,5.2,2.4375,25.5,16.5033836365,5.20046329498,2.43754482269,25.5092000961,2226,1317,1334,937,17305052,5453081,2555951,26748335,False,False,False
nominal_sweep,66,16.6,5.28,2.475,26.2,16.5997619629,5.27943611145,2.47582530975,26.2343997955,2239,1337,1353,946,17406112,5535890,2596091,27508762,False,False,False
nominal_sweep,67,16.7,5.36,2.5125,26.9,16.7035570145,5.35840988159,2.51208782196,26.8790998459,2253,1357,1371,954,17514949,5618700,2634115,28184779,False,False,False
nominal_sweep,68,16.8,5.44,2.55,27.6,16.7999448776,5.44133281708,2.55036735535,27.6043996811,2266,1378,1390,963,17616019,5705651,2674254,28945311,False,False,False
nominal_sweep,69,16.9,5.52,2.5875,28.3,16.8963241577,5.52030563354,2.58662986755,28.32970047,2279,1398,1408,972,17717080,5788460,2712278,29705844,False,False,False
nominal_sweep,70,17.0,5.6,2.625,29.0,17.0001192093,5.59928417206,2.62490749359,28.9743995667,2293,1418,1427,980,17825917,5871275,2752415,30381860,False,False,False
nominal_sweep,71,17.1,5.68,2.6625,29.7,17.0964975357,5.67825698853,2.66318702698,29.6996002197,2306,1438,1446,989,17926977,5954084,2792554,31142288,False,False,False
nominal_sweep,72,17.2,5.76,2.7,30.4,17.2002925873,5.76117992401,2.69944953918,30.4249000549,2320,1459,1464,998,18035814,6041035,2830578,31902820,False,False,False
nominal_sweep,73,17.3,5.84,2.7375,31.1,17.2966718674,5.84015274048,2.73773002625,31.0696001053,2333,1479,1483,1006,18136875,6123844,2870718,32578837,False,False,False
nominal_sweep,74,17.4,5.92,2.775,31.8,17.4004659653,5.91912651062,2.77600765228,31.7948999405,2347,1499,1502,1015,18245711,6206654,2910855,33339369,False,False,False
nominal_sweep,75,17.5,6.0,2.8125,32.5,17.4968547821,5.99810504913,2.81227016449,32.5200996399,2360,1519,1520,1024,18346782,6289469,2948879,34099796,False,False,False
nominal_sweep,76,17.6,6.08,2.85,33.2,17.60064888,6.08102703094,2.85054969788,33.1647996902,2374,1540,1539,1032,18455618,6376419,2989018,34775813,False,False,False
nominal_sweep,77,17.7,6.16,2.8875,33.9,17.6970281601,6.16000080109,2.88681221008,33.8900995255,2387,1560,1557,1041,18556679,6459229,3027042,35536345,False,False,False
